state_code,state_name_english,state_name_local,state_census2011_code,district_code,district_name_english,district_name_local,district_census2011_code
32,Kerala,"KERALA                                            ",32,554,Alappuzha,ആലപ്പുഴ,598
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,121,"Ambedkar Nagar","AMBEDKAR NAGAR                                    ",178
3,Punjab,"PUNJAB                                            ",03,27,Amritsar,"AMRITSAR                                          ",049
24,Gujarat,"GUJARAT                                           ",24,672,Arvalli,,000
10,Bihar,"BIHAR                                             ",10,611,Arwal,अरवल,240
10,Bihar,"BIHAR                                             ",10,189,Aurangabad,औरंगाबाद,235
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,125,Bahraich,"BAHRAICH                                          ",180
22,Chhattisgarh,छत्तीसगढ़,22,646,Balod,बालोद,000
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,127,Balrampur,"BALRAMPUR                                         ",182
22,Chhattisgarh,छत्तीसगढ़,22,649,Balrampur-Ramanujganj,बलरामपुर-रामानुजगंज,000
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,623,Bandipora,"BANDIPORA                                         ",009
27,Maharashtra,महाराष्ट्र,27,470,Beed,बीड,523
22,Chhattisgarh,छत्तीसगढ़,22,650,Bemetara,बेमेतरा,000
29,Karnataka,ಕರ್ನಾಟಕ,29,525,"Bengaluru Urban",ಬೆಂಗಳೂರು,572
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,179,Bhadohi,BHADOHI,198
27,Maharashtra,महाराष्ट्र,27,471,Bhandara,भंडारा,506
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,395,Bhind,भिण्ड,420
22,Chhattisgarh,छत्तीसगढ़,22,636,Bijapur,बीजापुर,417
24,Gujarat,"GUJARAT                                           ",24,676,Botad,BOTAD,000
5,Uttarakhand,UTTARAKHAND,05,47,Chamoli,"CHAMOLI                                           ",057
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,135,Chandauli,"CHANDAULI                                         ",196
14,Manipur,"MANIPUR                                           ",14,253,Chandel,"CHANDEL                                           ",280
27,Maharashtra,महाराष्ट्र,27,473,Chandrapur,चंद्रपूर,509
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,398,Chhatarpur,छ्तरपुर,425
24,Gujarat,"GUJARAT                                           ",24,668,Chhotaudepur,CHHOTAUDEPUR,000
24,Gujarat,"GUJARAT                                           ",24,445,Dahod,DAHOD,485
19,"West Bengal","WEST BENGAL                                       ",19,310,"Dakshin Dinajpur","DAKSHIN DINAJPUR",331
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,400,Damoh,दमोह,428
24,Gujarat,"GUJARAT                                           ",24,444,Dangs,DANGS,489
19,"West Bengal","WEST BENGAL                                       ",19,309,Darjeeling,"DARJEELING                                        ",327
29,Karnataka,ಕರ್ನಾಟಕ,29,535,Davangere,ದಾವಣಗೆರೆ,567
16,Tripura,ত্রিপুরা,16,269,Dhalai,ধলাই,291
21,Odisha,ODISHA,21,352,Dhenkanal,"DHENKANAL                                         ",383
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,404,Dindori,डिंडोरी,453
8,Rajasthan,"RAJASTHAN                                         ",08,769,Dudu,दूदू,NA
17,Meghalaya,"MEGHALAYA                                         ",17,657,"East Jaintia Hills","EAST JAINTIA HILLS",000
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,748,Eluru,Eluru,000
33,"Tamil Nadu","TAMIL NADU                                        ",33,573,Erode,"ERODE                                             ",610
3,Punjab,"PUNJAB                                            ",03,651,Fazilka,,000
3,Punjab,"PUNJAB                                            ",03,31,Ferozepur,FEROZEPUR,043
24,Gujarat,"GUJARAT                                           ",24,446,Gandhinagar,"GANDHINAGAR                                       ",473
20,Jharkhand,झारखंड,20,328,Garhwa,गढ़वा,346
22,Chhattisgarh,छत्तीसगढ़,22,645,Gariyaband,गरियाबंद,000
10,Bihar,"BIHAR                                             ",10,196,Gaya,गया,236
16,Tripura,ত্রিপুরা,16,654,Gomati,গোমতি,000
20,Jharkhand,झारखंड,20,331,Gumla,गुमला,366
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,17,Hamirpur,"HAMIRPUR                                          ",028
36,Telangana,తెలంగాణ,00,686,Hanumakonda,హనుమకొండ,000
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,408,Harda,हरदा,448
5,Uttarakhand,UTTARAKHAND,05,50,Haridwar,"HARIDWAR                                          ",068
29,Karnataka,ಕರ್ನಾಟಕ,29,539,Hassan,ಹಾಸನ,574
21,Odisha,ODISHA,21,355,Jagatsinghapur,"JAGATSINGHAPUR                                    ",380
8,Rajasthan,"RAJASTHAN                                         ",08,102,Jaipur,"JAIPUR                                            ",110
8,Rajasthan,"RAJASTHAN                                         ",08,104,Jalore,"JALORE                                            ",116
19,"West Bengal","WEST BENGAL                                       ",19,314,Jalpaiguri,"JALPAIGURI                                        ",328
36,Telangana,తెలంగాణ,00,687,"Jayashankar Bhupalapally","జయశంకర్ భూపాలపల్లి",000
8,Rajasthan,"RAJASTHAN                                         ",08,105,Jhalawar,"JHALAWAR                                          ",129
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,153,Jhansi,"JHANSI                                            ",166
21,Odisha,ODISHA,21,357,Jharsuguda,"JHARSUGUDA                                        ",371
22,Chhattisgarh,छत्तीसगढ़,22,382,Kabeerdham,कबीरधाम,407
19,"West Bengal","WEST BENGAL                                       ",19,702,Kalimpong,KALIMPONG,000
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,156,"Kanpur Dehat","KANPUR DEHAT                                      ",163
8,Rajasthan,"RAJASTHAN                                         ",08,108,Karauli,"KARAULI                                           ",107
36,Telangana,తెలంగాణ,00,508,Karimnagar,కరీంనగర్,534
10,Bihar,"BIHAR                                             ",10,201,Katihar,कटिहार,212
21,Odisha,ODISHA,21,360,Kendrapara,"KENDRAPARA                                        ",379
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,414,"Khargone (West Nimar)","खरगोन (पश्चिम निमाड़)",440
24,Gujarat,"GUJARAT                                           ",24,450,Kheda,"KHEDA                                             ",483
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,159,Kheri,KHERI,153
16,Tripura,ত্রিপুরা,16,652,Khowai,খোয়াই,000
20,Jharkhand,झारखंड,20,606,Khunti,खूंटी,365
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,620,Kishtwar,,018
15,Mizoram,"MIZORAM                                           ",15,263,Kolasib,"KOLASIB                                           ",282
19,"West Bengal","WEST BENGAL                                       ",19,315,Kolkata,"KOLKATA                                           ",342
32,Kerala,"KERALA                                            ",32,559,Kollam,കൊല്ലം,600
8,Rajasthan,"RAJASTHAN                                         ",08,109,Kota,"KOTA                                              ",127
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,160,Kushinagar,KUSHINAGAR,189
31,Lakshadweep,"LAKSHADWEEP                                       ",31,553,"Lakshadweep District","LAKSHADWEEP DISTRICT                              ",587
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,161,Lalitpur,"LALITPUR                                          ",167
20,Jharkhand,झारखंड,20,335,Latehar,लातेहार,359
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,234,Lohit,"LOHIT                                             ",259
13,Nagaland,"NAGALAND                                          ",13,615,Longleng,,268
10,Bihar,"BIHAR                                             ",10,206,Madhubani,मधुबनी,207
33,"Tamil Nadu","TAMIL NADU                                        ",33,578,Madurai,"MADURAI                                           ",623
