_id,State,District,Date,Daily Actual,Daily Normal,Daily Departure Per,Daily Category,Week Date,"Weekly 
Actual",Weekly Normal,Weekly Departure Per,Weekly Category,Cumulative Date,Cumulative Actual,Cumulative Normal,Cumulative Departue Per,"Cumulative 
Category",Monthly Date,Monthly Acutual,Monthly Normal,"Monthly 
Departure Per",Monthly Category
1,ANDAMAN & NICOBAR,NICOBAR,2026-08-19,0.5,7.4,-94%,LD,13-08-2026 To 19-08-2026,0.5,7.4,-94%,LD,2026-06-01,431.7,686.9,-37%,D,From 01-08-2026 To 19-08-2026,186.1,141.5,31%,E
2,ANDAMAN & NICOBAR,NICOBAR,2026-08-20,0.5,9.4,-94%,LD,13-08-2026 To 19-08-2026,17.5,45.2,-61%,LD,2026-06-01,432.3,696.3,-38%,D,From 01-08-2026 To 20-08-2026,186.6,150.9,24%,E
3,ANDAMAN & NICOBAR,NICOBAR,2026-08-21,2.4,9.9,-76%,LD,13-08-2026 To 19-08-2026,17.5,45.2,-61%,LD,2026-06-01,431.7,686.9,-37%,D,From 01-08-2026 To 21-08-2026,189,160.8,18%,N
4,ANDAMAN & NICOBAR,NICOBAR,2026-08-22,9.3,7.1,31%,E,13-08-2026 To 19-08-2026,17.5,45.2,-61%,LD,2026-06-01,444,713.3,-38%,D,From 01-08-2026 To 22-08-2026,198.3,167.9,18%,N
5,ANDAMAN & NICOBAR,NICOBAR,2026-08-23,1.3,7.9,-83%,LD,13-08-2026 To 19-08-2026,1.3,7.9,-83%,LD,2026-06-01,445.3,721.2,-38%,D,From 01-08-2026 To 23-08-2026,199.7,175.8,14%,N
6,ANDAMAN & NICOBAR,NICOBAR,2026-08-24,0.5,8,-93%,LD,13-08-2026 To 19-08-2026,17.5,45.2,-61%,LD,2026-06-01,445.9,729.2,-39%,D,From 01-08-2026 To 24-08-2026,200.2,183.8,9%,N
7,ANDAMAN & NICOBAR,NICOBAR,2026-08-25,0,8.4,-100%,NR,13-08-2026 To 19-08-2026,17.5,45.2,-61%,LD,2026-06-01,431.7,686.9,-37%,D,From 01-08-2026 To 25-08-2026,200.2,192.2,4%,N
8,ANDAMAN & NICOBAR,NICOBAR,2026-08-26,0,8.1,-100%,NR,20-08-2026 To 26-08-2026,14.1,58.8,-76%,LD,2026-06-01,445.9,745.7,-40%,D,From 01-08-2026 To 26-08-2026,200.2,200.3,0%,N
9,ANDAMAN & NICOBAR,NICOBAR,2026-08-27,0,8.5,-100%,NR,20-08-2026 To 26-08-2026,0,8.5,-100%,NR,2026-06-01,445.9,754.2,-41%,D,From 01-08-2026 To 27-08-2026,200.2,208.8,-4%,N
10,ANDAMAN & NICOBAR,NICOBAR,2026-08-28,10.9,11.5,-6%,N,28-08-2026,10.9,11.5,-6%,N,2026-06-01,456.7,765.7,-40%,D,From 01-08-2026 To 28-08-2026,211.1,220.3,-4%,N
11,ANDAMAN & NICOBAR,NICOBAR,2026-08-29,6,8.3,-28%,D,20-08-2026 To 26-08-2026,14.1,58.8,-76%,LD,2026-06-01,462.7,774,-40%,D,From 01-08-2026 To 29-08-2026,217.1,228.6,-5%,N
12,ANDAMAN & NICOBAR,NICOBAR,2026-08-30,3,8.6,-65%,LD,20-08-2026 To 26-08-2026,14.1,58.8,-76%,LD,2026-06-01,465.7,782.6,-40%,D,From 01-08-2026 To 30-08-2026,220.1,237.2,-7%,N
13,ANDAMAN & NICOBAR,NICOBAR,2026-08-31,0.1,8.7,-98%,LD,20-08-2026 To 26-08-2026,14.1,58.8,-76%,LD,2026-06-01,465.9,791.3,-41%,D,From 01-08-2026 To 31-08-2026,220.2,245.9,-10%,N
14,ANDAMAN & NICOBAR,NICOBAR,2026-09-01,3,9.1,-67%,LD,20-08-2026 To 26-08-2026,14.1,58.8,-76%,LD,2026-06-01,445.9,745.7,-40%,D,From 01-09-2026 To 01-09-2026,3,9.1,-67%,LD
15,ANDAMAN & NICOBAR,NICOBAR,2026-09-02,2,6.3,-68%,LD,27-08-2026 To 02-09-2026,25,61,-59%,D,2026-06-01,470.9,806.7,-42%,D,From 01-09-2026 To 02-09-2026,5,15.4,-67%,LD
